Date,DecimalYear,Mean_SAT,Hydrological_Year,Mean_RIC,Mean_SAT_MA10
2000-10-06,2000.7638603696098,-0.9085533171587414,2001,0.01285713261469141,-0.2001710993385458
2000-10-07,2000.766598220397,-0.8471378710940644,2001,0.012731074635375648,-0.24596961131247702
2000-10-08,2000.7693360711842,0.733624249352723,2001,0.01132111357234979,-0.21381986692310967
2000-10-09,2000.7720739219712,0.6173625788021236,2001,0.010378205878334,-0.15206704886370195
2000-10-10,2000.7748117727583,0.33068480766865416,2001,0.013433713964146195,-0.07744607227473818
2000-10-11,2000.7775496235456,0.40070033754247286,2001,0.014101652385099694,-0.035124119471769896
2000-10-12,2000.7802874743327,0.2658210048554612,2001,0.014117178228896809,0.010649711326573363
2000-10-13,2000.7830253251198,-0.06345276051676788,2001,0.015814827628880198,0.05396805025538589
2000-10-14,2000.7857631759068,-0.2739664709327467,2001,0.030614281090715054,-0.2402776329400596
2000-10-15,2000.7885010266941,-0.6063237532368134,2001,0.04617374401427525,-0.3940657363086507
2000-10-16,2000.7912388774812,-0.4508150091753088,2001,0.06303782195618354,-0.9941953116508622
2000-10-17,2000.7939767282683,-0.413954481805939,2001,0.11151658443336177,-2.034118115852542
2000-10-18,2000.7967145790553,-2.208832582601732,2001,0.15035433243903978,-2.8724717629808287
2000-10-19,2000.7994524298426,-0.9205184548837877,2001,0.18747040148065724,-3.1625089314062045
2000-10-20,2000.8021902806297,-5.67061094575346,2001,0.2319534777787159,-3.243740944176256
2000-10-21,2000.8049281314168,-9.998527704474325,2001,0.250688549685142,-3.517390192796147
2000-10-22,2000.807665982204,-8.117715466427406,2001,0.20997613588486655,-3.607093708003542
2000-10-23,2000.8104038329911,-2.963824444770527,2001,0.2111026687651404,-3.495797250100287
2000-10-24,2000.8131416837782,-1.0862865986332617,2001,0.22022109675528656,-3.130316599466869
2000-10-25,2000.8158795345653,-3.34281623943572,2001,0.23286098489934573,-2.90907566125336
2000-10-26,2000.8186173853526,-1.3478501612492635,2001,0.24817665213211063,-2.5900233778364687
2000-10-27,2000.8213552361397,0.699010097226616,2001,0.2630423233311306,-2.3257244592606883
2000-10-28,2000.8240930869267,1.4459739237324398,2001,0.27731396498065986,-2.3969028129988272
2000-10-29,2000.8268309377138,1.2918909272513082,2001,0.2903942710436028,-3.0862290388442615
2000-10-30,2000.829568788501,-2.480088111584548,2001,0.31227198782485827,-4.254156489715934
2000-10-31,2000.8323066392882,-7.355538518716515,2001,0.33673548469448217,-5.476553781451962
2000-11-01,2000.8350444900752,-8.8294990038088,2001,0.35282579576266865,-7.000396114856073
2000-11-02,2000.8377823408625,-9.857086703224866,2001,0.5291366598173897,-8.517972137769306
2000-11-03,2000.8405201916496,-12.76556110734998,2001,0.5444312007421979,-9.518878328164792
2000-11-04,2000.8432580424367,-15.566789156796007,2001,0.5658065162263214,-10.168392371183183
2000-11-06,2000.848733744011,-16.586273495290374,2001,0.6183258144131285,-10.405032250552614
2000-11-07,2000.851471594798,-14.4767501319057,2001,0.6376815784890807,-10.231681907167072
2000-11-08,2000.8542094455852,-8.563087980222429,2001,0.6452827829258871,-10.369901032383266
2000-11-09,2000.8569472963723,-5.203249502932599,2001,0.6480065900750945,-10.660070877686199
2000-11-10,2000.8596851471596,-4.8464869052788755,2001,0.654452652392783,-10.570476508542185
2000-11-11,2000.8624229979466,-5.622035084861094,2001,0.671847750070448,-10.218426943391547
2000-11-12,2000.8651608487337,-10.211690255970737,2001,0.6840010526537458,-9.88737779262807
2000-11-13,2000.8678986995208,-12.758785156254191,2001,0.7103050616245447,-9.84309427629546
2000-11-14,2000.870636550308,-11.869617415909847,2001,0.7312851859689901,-10.341988236428074
2000-11-15,2000.8733744010951,-12.046293505289624,2001,0.7615900460723087,-10.988194989802505
2000-11-16,2000.8761122518822,-13.275781987655606,2001,0.7874406313319924,-11.995068988784224
2000-11-17,2000.8788501026695,-14.033914968579596,2001,0.8219553652350078,-13.215764201790261
2000-11-18,2000.8815879534566,-13.552027581548575,2001,0.8481479172037796,-14.115150573022499
2000-11-19,2000.8843258042436,-11.665317036676898,2001,0.864396446147408,-14.353751860584065
2000-11-20,2000.8870636550307,-14.915226895096069,2001,0.8719667493141235,-14.542554558261703
2000-11-21,2000.889801505818,-17.828987214921465,2001,0.874808501346507,-14.661665804087846
2000-11-22,2000.892539356605,-19.205553968293117,2001,0.8756639170407562,-14.647256203561597
2000-11-23,2000.8952772073922,-15.144798031869868,2001,0.8716531235618767,-14.604190066847718
2000-11-24,2000.8980150581792,-13.757644392686183,2001,0.8593103383389422,-14.659918538893937
2000-11-25,2000.9007529089665,-13.237405963551083,2001,0.852574290914498,-15.914281114811576
2000-11-26,2000.9034907597536,-13.131685982393096,2001,0.849130661971051,-17.139000613621583
2000-11-27,2000.9062286105407,-13.603253601440812,2001,0.8565868223015113,-17.50826137266707
2000-11-28,2000.908966461328,-14.109312302010762,2001,0.8443008255123604,-17.375249120590578
2000-11-29,2000.911704312115,-24.20894279585327,2001,0.8339482745713941,-18.00994111440088
2000-11-30,2000.914442162902,-27.16242188319615,2001,0.8095827974028461,-19.190332113475087
2000-12-01,2000.9171800136892,-21.521594805376377,2001,0.8323287739887709,-21.021439807410378
2000-12-02,2000.9199178644765,-17.875431447528182,2001,0.8510599923870896,-22.622370660966727
2000-12-03,2000.9226557152635,-21.491717969972868,2001,0.8554700341159499,-23.79812664510266
2000-12-04,2000.9253935660506,-25.561554383428255,2001,0.8438494273822419,-24.151339655783694
2000-12-05,2000.9281314168377,-31.54848290290398,2001,0.836903167827517,-22.959912442594735
2000-12-06,2000.930869267625,-29.14099451795658,2001,0.8386311788142736,-21.29573139337107
2000-12-07,2000.933607118412,-25.360813442800143,2001,0.8254515748088368,-20.3358582275146
